注释行
Id,frames,name,path,px,py,dpiscale,is_animation
string,number,string,string[],number,number,number[],boolean
unique
blind_chips,21,blind_chips,"{'resources/textures/1x/BlindChips.png','resources/textures/2x/BlindChips.png'}",34,34,"{1,2}",true
shop_sign,4,shop_sign,"{'resources/textures/1x/ShopSignAnimation.png','resources/textures/2x/ShopSignAnimation.png'}",113,57,"{1,2}",true
cards_1,0,cards_1,"{'resources/textures/1x/8BitDeck.png','resources/textures/2x/8BitDeck.png'}",71,95,"{1,2}",false
cards_2,0,cards_2,"{'resources/textures/1x/8BitDeck_opt2.png','resources/textures/2x/8BitDeck_opt2.png'}",71,95,"{1,2}",false
centers,0,centers,"{'resources/textures/1x/Enhancers.png','resources/textures/2x/Enhancers.png'}",71,95,"{1,2}",false
Joker,0,Joker,"{'resources/textures/1x/Jokers.png','resources/textures/2x/Jokers.png'}",71,95,"{1,2}",false
Tarot,0,Tarot,"{'resources/textures/1x/Tarots.png','resources/textures/2x/Tarots.png'}",71,95,"{1,2}",false
Voucher,0,Voucher,"{'resources/textures/1x/Vouchers.png','resources/textures/2x/Vouchers.png'}",71,95,"{1,2}",false
Booster,0,Booster,"{'resources/textures/1x/boosters.png','resources/textures/2x/boosters.png'}",71,95,"{1,2}",false
ui_1,0,ui_1,"{'resources/textures/1x/ui_assets.png','resources/textures/2x/ui_assets.png'}",18,18,"{1,2}",false
ui_2,0,ui_2,"{'resources/textures/1x/ui_assets_opt2.png','resources/textures/2x/ui_assets_opt2.png'}",18,18,"{1,2}",false
balatro,0,balatro,"{'resources/textures/1x/balatro.png','resources/textures/2x/balatro.png'}",333,216,"{1,2}",false
gamepad_ui,0,gamepad_ui,"{'resources/textures/1x/gamepad_ui.png','resources/textures/2x/gamepad_ui.png'}",32,32,"{1,2}",false
icons,0,icons,"{'resources/textures/1x/icons.png','resources/textures/2x/icons.png'}",66,66,"{1,2}",false
tags,0,tags,"{'resources/textures/1x/tags.png','resources/textures/2x/tags.png'}",34,34,"{1,2}",false
stickers,0,stickers,"{'resources/textures/1x/stickers.png','resources/textures/2x/stickers.png'}",71,95,"{1,2}",false
chips,0,chips,"{'resources/textures/1x/chips.png','resources/textures/2x/chips.png'}",29,29,"{1,2}",false
collab_AU_1,0,collab_AU_1,"{'resources/textures/1x/collabs/collab_AU_1.png','resources/textures/2x/collabs/collab_AU_1.png'}",71,95,"{1,2}",false
collab_AU_2,0,collab_AU_2,"{'resources/textures/1x/collabs/collab_AU_2.png','resources/textures/2x/collabs/collab_AU_2.png'}",71,95,"{1,2}",false
collab_TW_1,0,collab_TW_1,"{'resources/textures/1x/collabs/collab_TW_1.png','resources/textures/2x/collabs/collab_TW_1.png'}",71,95,"{1,2}",false
collab_TW_2,0,collab_TW_2,"{'resources/textures/1x/collabs/collab_TW_2.png','resources/textures/2x/collabs/collab_TW_2.png'}",71,95,"{1,2}",false
collab_VS_1,0,collab_VS_1,"{'resources/textures/1x/collabs/collab_VS_1.png','resources/textures/2x/collabs/collab_VS_1.png'}",71,95,"{1,2}",false
collab_VS_2,0,collab_VS_2,"{'resources/textures/1x/collabs/collab_VS_2.png','resources/textures/2x/collabs/collab_VS_2.png'}",71,95,"{1,2}",false
collab_DTD_1,0,collab_DTD_1,"{'resources/textures/1x/collabs/collab_DTD_1.png','resources/textures/2x/collabs/collab_DTD_1.png'}",71,95,"{1,2}",false
collab_DTD_2,0,collab_DTD_2,"{'resources/textures/1x/collabs/collab_DTD_2.png','resources/textures/2x/collabs/collab_DTD_2.png'}",71,95,"{1,2}",false
collab_CYP_1,0,collab_CYP_1,"{'resources/textures/1x/collabs/collab_CYP_1.png','resources/textures/2x/collabs/collab_CYP_1.png'}",71,95,"{1,2}",false
collab_CYP_2,0,collab_CYP_2,"{'resources/textures/1x/collabs/collab_CYP_2.png','resources/textures/2x/collabs/collab_CYP_2.png'}",71,95,"{1,2}",false
collab_STS_1,0,collab_STS_1,"{'resources/textures/1x/collabs/collab_STS_1.png','resources/textures/2x/collabs/collab_STS_1.png'}",71,95,"{1,2}",false
collab_STS_2,0,collab_STS_2,"{'resources/textures/1x/collabs/collab_STS_2.png','resources/textures/2x/collabs/collab_STS_2.png'}",71,95,"{1,2}",false
collab_TBoI_1,0,collab_TBoI_1,"{'resources/textures/1x/collabs/collab_TBoI_1.png','resources/textures/2x/collabs/collab_TBoI_1.png'}",71,95,"{1,2}",false
collab_TBoI_2,0,collab_TBoI_2,"{'resources/textures/1x/collabs/collab_TBoI_2.png','resources/textures/2x/collabs/collab_TBoI_2.png'}",71,95,"{1,2}",false
